45270.0	Basta aprender as combinações de ervas. Era o que o velho dizia. Combinações de ervas.
33117.0	Eu também conheço os caminhos. Heh. Senão não passaria dos porões aos sótãos.
65657.0	Puxa, precisavam judiar tanto de um homem assim.
44759.0	
7997.0	Heh. E do que tem medo? De levar bronca?
28842.0	Contanto que não mexam na nossa torre. De resto, que o mundo acabe.
22486.0	O assassino é um demônio da estepe. Shabnak-Adyg. Tô falando sério.
35559.0	
51045.0	Cara de pouca sorte. Veio do hospital, foi?
73352.0	O sal sumiu das bancas. Os preços sobem. Eh. Cheiro de guerra.
17317.0	
18290.0	uai
7579.0	
60366.0	
70593.0	Minha coça atrás do joelho. Isso é normal?
9149.0	
7316.0	
21415.0	
17810.0	
19459.0	O gato sabe de quem comeu o carneiro.
9003.0	Não viu por aí um homem pálido, brilhando, à noite?
19804.0	Morto brincalhão. Brincou, brincou, e morreu.
28123.0	Acredito no bicho, no cachorro e no ouriço, mas em você, só depois.
59677.0	Dizem que faz bem. Eca. Mas o gosto é de veneno puro.
30331.0	Meu ramo se chamava «Contra a Corrente». Quase rastreei aquela criatura estranha, mas aí achei uma ocupação mais interessante. E resolvi virar médico.
51554.0	No Dia 12, morreu da Peste Arenosa porque Burakh não conseguiu protegê-lo
51554.1	Jovem penetra
51554.2	No Dia 2, caçou o último vampiro
51554.3	No Dia 5, arrombou a casa de Isidor para Maria, mas não arrombou o escritório dele
51554.4	No Dia 8, usou o nome de Burakh durante a ausência dele
51554.5	No Dia 8, se disse o nome e herdeiro do falecido Artemy Burakh
51554.6	No Dia 12, ajudou prisioneiros do exército a fugir da cadeia
51554.7	No Dia 12, virou assistente de Artemy Burakh
42654.0	Adrenalina
42654.1	aumenta temporariamente a velocidade de corrida
14055.0	Adrenalina
14055.1	Hormônio produzido nas glândulas suprarrenais em momentos de estresse. Ao ser administrado, ativa no corpo a reação «lutar ou fugir». No meu caso, ajuda a correr mais rápido
14055.2	
77985.0	Estimulante
77985.1	aumenta a mania
74755.0	Estimulante
74755.1	Corre, Daniil, corre!
74755.2	Estimulante
10715.0	Ai, minha perna, minha perna!... Que isso... Ai!
10715.1	Desculpe se atrapalhei... E o que o senhor está fazendo, afinal?
10715.2	Hã? Nada de mais. Olá. Estou aqui de pé, como pode ver.
10715.3	Estou vendo. Mas por que numa perna só?
10715.4	Não sou eu não! São os nossos mandachuvas da Prefeitura que perderam o juízo. Ouviu a novidade, né? Aboliram o tempo!\nE eu, nesse exato momento, tinha acabado de levantar a perna. Agora a gente fica parado junto: eu e o tempo. Nem coçar o nariz, nem soltar um pum!
10715.5	Mas era brincadeira... Uma piada, entende?
10715.6	Impossível! Será que dá pra brincar com isso, pensa bem, hein? Com isso não se brinca. Vou ficar aqui de pé até revogarem o decreto...
10715.7	É, foi uma piada idiota.
10715.8	Pois então, fique aí.
10715.9	Não vejo a relação. Digamos que o tempo parou. E o senhor com isso?
10715.10	E eu — como explicar? — por solidariedade. Com o tempo. Vou ficar aqui de pé até revogarem o decreto...
10715.11	Espero que o tempo reconheça seu sacrifício quando recuperar seus direitos legítimos.
10715.12	Que tal trocar de perna, ao menos? Vai aliviar.
10715.13	Hã? Não, não pode! Ah, como eu queria, não acredita, já não sinto essa perna! Mas não posso...
10715.14	Por que se martirizar assim?
10715.15	Está imitando uma garça? Parece.
10715.16	Hã? Que garça? Do que o senhor está falando, desculpe, não ouvi... O que disse?
10715.17	Perguntei por que está de pé numa perna só.
70888.0	Parar o tempo
70888.1	Parar os relógios da cidade
38797.0	Sai da frente, parceiro, você está tapando meu céu.
38797.1	Não está com frio, deitado no chão?
38797.2	Tudo bem? O senhor não precisa de ajuda?
38797.3	O tempo parou, então não há para onde correr. Quer deitar também? Não me importo com companhia.
38797.4	Está bem deitado. Se eu tivesse tempo, deitaria ao seu lado.
38797.5	Pode vir, então. Não me importo com companhia. O tempo parou, então não há pressa. Respirar um pouco.
38797.6	Infelizmente, o tempo não se para de verdade. Mas fico feliz por você — parece que precisava descansar um pouco.
38797.7	...Pode se mexer um pouco?
38797.8	Pode.
38797.9	...
38797.10	...
38797.11	...
38797.12	...
38797.13	...
38797.14	...
38797.15	...
38797.16	...Eu nunca tinha notado como o tempo é viscoso.
38797.17	Rá! Venci no jogo do silêncio. Mais uma vitória do bacharel Dankovsky!
38797.18	...
38797.19	Chega, chega, você me venceu no silêncio. Me rendo. Sem tempo é pesado demais.
38797.20	Obrigado pelo minuto de paz.
38797.21	E eu gostei.
38797.22	...O senhor entende que o tempo não pode ser parado por decreto? Quer dizer, de verdade.
38797.23	Você subestima esse tal de Dankovsky. Ele é capaz de muita coisa. E além do mais — quando se olha para o céu, não faz diferença se o tempo anda ou para.
38797.24	Se o tempo anda, mais cedo ou mais tarde tudo chega ao fim. Na morte.
38797.25	...
38797.26	...
38797.27	Entendi você.
38797.28	É verdade.
38797.29	Infelizmente, preciso ir. Obrigado pelo minuto de paz.
5977.0	Eles devem achar que é engraçado!
5977.1	«Achar»?! Isso não dá pra <i>achar</i> nem <i>pensando</i>. Só pode ter sido outro processo na cabeça deles.
5977.2	E como eu vou acertar meu relógio agora, hein? A vida inteira eu acertei pelo da torre!\nEi, moço! Você aí! Viu que pregaram os relógios na cidade inteira — ou foi só com a gente que deu essa sorte?
5977.3	Está falando comigo?
5977.4	Não, claro que não é com você, é com aquela árvore ali atrás de você, tum-tum. Então?
5977.5	Ótimo, então que a árvore te responda. Eu, com licença, estou com pressa.
5977.6	Sim, na cidade inteira. Decreto do Comando de Emergência.
