21403.9	Finalmente, uma resposta direta. Seja franco comigo: o general Block abusou de sua autoridade e destruiu o único hospital da cidade. Se isso não é sabotagem, o que é? O senhor tentou impedi-lo, doutor Dankovsky?
21403.10	Os pacientes guardavam a chave para resolver a peste. Eu nunca os teria abandonado!
21403.11	No mesmo dia, os soldados de Block começaram a bombardear a cidade e sua população civil com artilharia. Sim ou não?
21403.12	Sim, mas os motivos deles não são o que o senhor pensa.
21403.13	Não me interessam motivos — só ações e suas consequências.
21403.14	O senhor está perdendo o ponto: não foram Block nem os militares que decidiram o destino da cidade. No Dia Onze, acontecimentos muito mais importantes ocorreram.
21403.15	É mesmo? Esclareça-me.
21403.16	Só se o senhor prometer não me interromper.
21403.17	Foi no Dia Onze que descobri onde ficava a fonte da peste.
21403.18	O Inspetor quer me enterrar. A Inquisição quer enterrar o Inspetor. O senhor quer enterrar Block. Só me diga uma coisa: por que vocês são todos tão parecidos? Por que não conseguem parar de se devorar? Até a peste é melhor.
21403.19	Então o senhor considera as ações de Block justas?
21403.20	O senhor não se importa nem um pouco com o que eu considero justo.
21403.21	Algumas batalhas mudam o curso das guerras. São pontos de ruptura, por assim dizer. Esta peste se tornou um desses pontos para muitos escalões do poder. Se o senhor parasse de procurar encrenca, estimado Bacharel, e admitisse que seu papel pessoal nos acontecimentos foi mais modesto do que parece, já teria saído desta sala há muito tempo!
21403.22	Meu tempo e minha paciência estão no limite. Deixe o tribunal fazer seu trabalho.
21403.23	Block era só um homem. Uma figura mais grandiosa que as outras. Mas todos temem a peste igualmente... mesmo que de maneiras diferentes.
21403.24	O que eu considero injusto é todo esse interrogatório, delação e briga interna.
21403.25	Não gosto do seu tom.
21403.26	Não estou aqui para ser querido. Só me interessam as ações do exército na cidade. Eu sei quem é culpado por esse desastre e quem deve ser punido. E preciso que o senhor assine o depoimento.
21403.27	Agradeço sua honestidade. Diferente do nosso amigo Inspetor aqui, o senhor não tenta esconder que o bode expiatório já está escolhido. É só assinar o papel, Dankovsky...
21403.28	Estou do seu lado. Não vê? Eu quero ajudar você.
21403.29	É, o senhor só esqueceu de perguntar se eu quero a sua ajuda.
21403.30	De volta ao que importa: os crimes de Block na cidade que lhe foi confiada.
21403.31	Claro. Assim como o Coronel aqui quer ajudar o general Block a se livrar da farda.
21403.32	O que um médico pode fazer contra uma multidão armada?
21403.33	Não, espera — não foi nada disso. O senhor está torcendo o passado para servir à sua agenda de novo.
21403.34	Não.
21403.35	Então. O general Block abusou de sua autoridade e destruiu o único hospital da cidade. E o senhor está encobrindo ele. Em outras palavras, o senhor é cúmplice. Se isso não é sabotagem, o que é?
21403.36	Não me lembro.
21403.37	Deixe-me refrescar sua memória. O general Block abusou de sua autoridade e destruiu o único hospital da cidade. Se isso não é sabotagem, o que é? O senhor tentou impedi-lo, doutor Dankovsky?
21403.38	E agora, Inspetor? Vai deixar esse soldadinho de chumbo intrometido roubar sua presa?
21403.39	Coronel, seria mais eficiente se eu fizesse as perguntas. Por favor, deixe-me...
21403.40	Pare! Isso está demorando demais. O general Block abusou de sua autoridade e destruiu o único hospital da cidade. Se isso não é sabotagem, o que é? O senhor tentou impedi-lo, doutor Dankovsky?
21403.41	E quem é você, exatamente?
21403.42	Discutir com você é um esforço pior do que discutir com o povo comum — que preferiria se enforcar a me deixar salvá-lo.
21403.43	O senhor teve um desentendimento com o general Block, não teve? Conte-me sobre isso.
21403.44	O que quer dizer com «o hospital foi fechado»? Do que está falando?
33466.0	Você é o médico da Academia? Escuta, pode nos ajudar a fazer nossas crianças ficarem em casa?
33466.1	Eu não gosto de crianças.
33466.2	Não estou falando dos meus filhos. Falo das crianças em geral.
33466.3	Vejo que você não é apenas uma mãe maravilhosa, mas também uma cidadã responsável.
